STATEFP,CD115FP,PP
34,6,15.13
12,10,60.14
6,44,51.49
6,38,39.55
26,13,27.67
6,37,63.06
29,1,42.58
25,5,34.02
48,19,29.26
36,2,49.67
55,4,28.53
4,6,60.72
12,9,62.59
48,16,67.71
48,3,62.47
4,5,69.92
51,11,16.51
53,9,39.9
26,1,8.73
36,6,47.84
36,15,78.26
36,13,47.36
12,7,55.06
12,15,44.44
17,7,23.58
17,9,27.67
6,29,42.36
6,43,55.95
6,28,40.79
6,40,47.87
36,17,57.16
6,31,22.36
4,4,17.41
12,12,48.62
31,2,60.6
6,13,64.63
13,7,42.68
12,23,49.07
36,14,35.82
31,1,35.77
51,8,55.82
6,14,39.57
39,14,38.8
2,0,4.63
12,14,58.09
48,9,26.05
6,34,52.42
12,22,31.45
39,1,23.23
4,9,32.34
26,9,32.87
15,1,39.36
18,3,56.99
24,2,13.42
25,1,33.71
34,1,36.9
40,4,33.9
53,4,26.7
48,31,53.54
13,1,32.76
16,1,26.02
28,4,54.86
56,0,72.75
36,9,74.26
53,6,50.79
6,12,77.04
12,25,39.26
40,3,27.04
42,12,14.8
6,6,34.16
42,11,16.57
10,0,41.84
17,13,21.97
19,3,48.29
13,5,66.54
34,2,34.6
48,23,28.67
1,2,28.81
19,2,33.12
25,2,38.86
13,3,40.67
29,2,45.4
17,3,31.47
42,6,14.79
48,24,46.21
6,36,40.73
12,21,46.22
5,1,21.42
6,49,36.05
12,4,31.03
26,7,27.44
28,3,21.24
31,3,34.08
39,8,29.11
37,7,44.31
6,10,43.71
26,3,30.22
47,5,43.89
12,1,44.35
18,2,48.52
6,52,30.01
36,18,38.17
24,8,16.3
37,9,28.32
39,5,35.22
36,4,63.26
36,5,71.14
51,10,18.81
6,45,60.38
6,42,22.62
26,11,25.79
27,4,59.22
48,22,26.44
12,13,70.48
12,27,32.74
12,8,40.74
12,3,62.06
12,19,31.12
22,4,24.42
45,3,51.64
6,25,31.4
18,7,75.06
48,7,27.3
48,20,37.79
4,3,28.52
4,2,53.9
47,8,37.64
44,1,34.11
51,6,24.71
51,4,29.28
53,1,36.73
53,10,35.23
37,5,35.83
36,27,36.08
48,28,18.52
48,5,28.14
48,33,16.44
48,8,46.76
48,18,21.74
48,2,14.91
48,21,28.76
4,1,27.31
47,3,18.97
53,7,49.35
53,2,26.83
24,6,12.29
26,6,54.7
26,4,40.25
35,2,42.72
49,4,33.15
42,14,26.15
42,3,29.37
42,9,17.47
45,4,46.93
45,7,39.12
45,2,26.33
12,6,41.75
12,24,56.17
12,11,42.93
18,6,52.96
21,1,15.61
17,1,27.06
41,2,52.93
5,3,17.46
26,12,27.81
36,7,35.39
36,24,45.69
36,16,45.53
36,8,23.21
36,20,43.6
36,10,38.93
1,5,29.62
6,15,43.74
1,6,21.05
34,3,36.45
8,3,39.11
8,6,18.38
12,17,51.68
42,2,60.17
29,5,22.48
29,4,26.71
41,4,52.61
17,14,20.29
47,9,26.76
17,6,19.94
17,5,22.03
17,16,24.7
17,11,16.1
13,14,38.55
37,13,29.28
40,1,24.54
40,2,37.68
24,4,16.88
6,39,47.02
6,50,40.02
6,20,44.93
6,26,26.17
6,19,40.55
6,27,50.45
6,17,62.85
6,11,35.35
6,21,26.59
6,22,25.68
32,1,62.92
32,2,57.11
25,3,29.59
25,8,19.54
36,21,50.91
42,15,19.98
55,6,25.49
24,5,34.88
39,7,16.92
39,3,24.85
39,4,16.79
39,13,15.84
39,12,19.82
20,2,40.17
55,5,42.82
55,2,49.24
11,98,62.26
50,0,51.33
9,5,27.44
19,1,27.1
41,1,32.1
48,26,68.17
45,5,31.27
13,13,24.09
15,2,10.98
36,12,71.46
4,8,34.66
42,13,20.89
51,3,37.66
26,14,19.77
36,25,57.56
34,10,25.2
34,12,28.01
21,3,53.47
17,10,33.5
6,30,39.09
6,35,35.07
6,46,61.45
48,29,24.45
22,1,14.75
23,2,38.01
18,4,47.27
37,4,28.16
48,17,32.98
26,5,19.36
47,2,19.31
27,3,41.64
46,0,55.15
48,36,39.77
48,30,41.17
39,11,16.93
17,4,13.17
24,7,18.45
8,7,32.78
48,12,37.31
36,23,32.11
36,26,48.41
6,7,64.52
6,18,47.26
6,41,46.47
25,7,26.15
17,8,26.48
34,8,16.73
18,1,49.8
13,11,39.55
13,4,48.82
55,1,48.38
17,2,45.42
13,6,42.52
39,10,39.64
36,11,40.48
30,0,50.56
4,7,66.37
8,1,23.28
12,18,55.93
37,12,46.04
47,4,22.71
6,48,33.34
42,1,19.9
47,6,33.26
6,32,46.86
21,6,33.21
40,5,31.43
20,3,57.26
44,2,46.95
27,5,64.55
6,16,37.85
48,32,29.78
42,10,17.16
53,3,28.16
5,4,35.7
13,12,30.25
20,1,40.79
32,3,50.81
36,1,19.13
37,10,33.84
39,6,18.63
8,5,45.04
22,2,10.87
26,2,44.54
6,1,37.67
13,8,21.66
22,6,11.62
48,15,15.56
27,8,35.81
12,2,21.13
34,4,36.84
21,5,36.88
42,18,29.23
45,6,15.26
17,15,27.21
39,9,8.69
27,7,34.99
6,24,21.34
33,1,23.44
18,5,41.88
35,1,29.73
1,4,26.21
12,16,61.79
48,34,16.62
6,4,40.23
16,2,42.62
26,8,33.39
39,15,21.24
41,5,18.1
48,4,32.93
51,7,29.67
49,2,44.67
13,9,43.41
23,1,16.38
27,2,34.45
49,1,30.51
54,1,18.61
36,22,28.44
19,4,46.49
55,3,20.24
12,26,15.88
21,2,18.83
6,5,30.77
6,23,24.97
42,16,18.47
47,1,29.45
37,6,34.24
6,8,35.2
25,9,9.98
53,8,27.65
1,1,18.24
18,8,35.66
29,7,48.03
38,0,64.47
41,3,34.73
48,13,30.37
48,27,25.92
48,1,38.43
6,33,18.33
39,16,18.28
37,3,40.44
6,51,29.33
6,47,14.84
55,7,28.79
29,8,42.42
17,18,26.38
35,3,38.83
55,8,22.46
9,3,32.57
24,1,12.92
42,7,8.39
9,4,33.73
6,3,24.18
6,9,54.14
36,19,36.9
1,3,32.43
27,6,24.97
13,10,41.65
37,11,27.33
49,3,25.71
42,17,10.97
33,2,21.55
22,3,31.61
47,7,28.46
32,4,55.63
25,4,27.38
51,2,13.62
13,2,44.36
53,5,45.27
22,5,17.6
21,4,18.29
25,6,42.01
51,9,21.35
12,5,13.77
8,2,34.07
37,8,30.07
48,6,39.4
42,4,42.79
42,5,29.68
42,8,44.89
6,53,47.82
51,5,21.73
29,3,29.23
37,2,24
17,17,22.02
28,1,36.97
9,2,50.1
26,10,55.23
8,4,40.32
36,3,47.52
12,20,28.33
48,10,27.05
34,5,28.08
54,3,27.9
37,1,24.17
54,2,14.03
72,98,30.96
48,14,22.83
48,11,21.65
45,1,10.41
34,7,32.64
34,9,28.89
1,7,20.99
20,4,38.61
17,12,30.3
5,2,34.29
27,1,27.92
34,11,33.18
6,2,23.89
29,6,26.6
24,3,5.76
39,2,35.4
9,1,24.38
28,2,31.92
48,25,21.65
48,35,12.04
51,1,32.09
18,9,44.23